ALU Planer,,op code size,,,,,,,,,
,,3,,,,,4,,,,
Number of Registers,Instruction Type,op,r1,r2,r3,empty,op,r1,r2,r3,empty
8,R,3,3,3,3,,4,3,3,3,3
,,op,r1,,,,op,r1,immediate,,
,I,3,3,3,3,,4,3,9,,
,,op,r1,,,,op,r1,r2,immediate,
,J,3,3,3,3,,4,3,3,6,
,,op,r1,r2,r3,,op,r1,r2,r3,empty
16,R,3,4,4,4,,4,4,4,4,0
,,op,r1,,,,op,r1,immediate,,
,I,3,4,4,4,,4,4,8,,
,,op,r1,,,,op,r1,r2,immediate,
,J,3,4,4,4,,4,4,3,5,
,,,,,,,,,,,
,,,,,,,,,,,
,,op,r1,r2,r3,empty,,,,,
,,4,4,4,4,0,,,,,
,,op,immediate,,,,,,,,
,,4,12,,,,,,,,
,,op,r1,r2,immediate,,,,,,
,,4,4,4,4,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,op_code,op3,op2,op1,empty,,,,,
,,4,4,4,4,0,,,,,
,,op_code,j,,,,,,,,
,,4,12,,,,,,,,
,,op_code,op3,op2,immed,,,,,,
,,4,4,4,4,,,,,,
